TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
272550631,interevent,2984.8366223136213,2999.1424913355872,13.884572725324688,2.077389309100178
272550631,interevent,2999.1424913355872,3006.399597734166,7.046458250258183,1.0542806988513063
272550631,interevent,3006.399597734166,3009.105206893187,2.494961010700536,0.37329238953083194
272550631,interevent,3009.105206893187,3022.119348758409,12.592845568581197,1.8841229955607712
272550631,interevent,3022.119348758409,3023.6374295949413,1.5180808365321354,0.22713301752596537
272550631,interevent,3023.6374295949413,3045.2641406394287,20.99476659952552,3.1412060380769047
272550631,interevent,3045.2641406394287,3058.9545466912123,13.26679494077598,1.9849583074114987
272550631,interevent,3058.9545466912123,3065.1545771868773,5.9893823473439625,0.8961225600980615
272550631,interevent,3065.1545771868773,3073.360163987361,7.501883096659185,1.1224206931981546
272550631,interevent,3073.360163987361,3081.768488932639,8.197676796957694,1.2265243212271961
272550631,interevent,3081.768488932639,3089.6893057942248,7.707853898898975,1.1532377410846406
272550631,interevent,3089.6893057942248,3098.878135962476,7.897175076216627,1.1815636966272698
272550631,interevent,3098.878135962476,3098.9489689165407,0.0708329540648264,0.010597922198777157
272550631,interevent,3098.9489689165407,3113.2127106306566,13.842445417474664,2.0710862833837878
272550631,interevent,3113.2127106306566,3113.2529880080474,0.0402773773907938,0.0060262418473717655
272550631,interevent,3113.2529880080474,3115.4349074612965,2.1819194532490656,0.3264555730425848
272550631,interevent,3115.4349074612965,3119.750122914248,4.146233971608126,0.6203534164170883
272550631,interevent,3119.750122914248,3120.8403831968776,1.0902602826295151,0.16312313674154702
273020657,initial,3041.108636408113,3046.779310516185,5.670674108072035,0.8484379030269767
273020657,interevent,3046.779310516185,3049.73908131519,2.7491226506845123,0.41131967954048787
273020657,interevent,3049.73908131519,3059.6363997310423,9.684355453165152,1.4489589908112088
273020657,interevent,3059.6363997310423,3064.605847696025,4.758799816661849,0.7120046153995014
273033221,initial,1596.7713100183755,1602.7896622476158,6.018352229240236,0.9004569911336989
273033221,interevent,2336.108805799712,2338.122689738213,2.01388393850084,0.301314346964348
273033221,interevent,2338.122689738213,2340.7518440726303,2.629154334417308,0.39337019686107677
273033221,interevent,2340.7518440726303,2342.480998692225,1.7291546195947376,0.2587135658827623
273033221,interevent,2342.480998692225,2345.9240197796325,3.443021087407488,0.5151397410264582
273033221,interevent,2345.9240197796325,2351.875312311925,4.98601475477335,0.7460001795870667
273033221,interevent,2351.875312311925,2355.216912997248,3.341600685323101,0.49996536993252744
273033221,interevent,2355.216912997248,2358.67099976865,3.4540867714017622,0.5167953723578897
273227122,initial,3126.6363678723574,3134.253292043177,7.406276022499242,1.1081161036610236
273227122,interevent,3134.253292043177,3136.038002589285,1.7847105461078172,0.2670257617334076
273310905,initial,3041.108636408113,3047.7242036437938,6.615567235680828,0.9898114202657533
273310905,interevent,3047.7242036437938,3063.332541829968,14.974078926845324,2.240399621337524
273317891,initial,1569.4379882598296,1571.8298492957524,2.3918610359228296,0.3578667232457575
273317891,interevent,1571.8298492957524,1586.627381332196,13.7975320364435,2.064366409503945
273317891,interevent,1586.627381332196,1587.087109808422,0.4597284762260187,0.06878389709889422
273317891,interevent,1587.087109808422,1587.5732273229712,0.486117514549278,0.07273218612259494
273317891,interevent,1587.5732273229712,1593.1343917167426,5.561164393771378,0.8320532209606815
273317891,interevent,1593.1343917167426,1619.05494954066,23.71222449089441,3.5477880829937845
273317891,interevent,1619.05494954066,1623.0798432548956,4.024893714235759,0.6021986659313887
273392238,initial,3041.108636408113,3051.202116284964,9.882831728530618,1.4786547186316414
273817886,initial,1569.4379882598296,1578.167493851676,8.729505591846419,1.3060957617482536
273817886,interevent,1578.167493851676,1585.9870952923918,6.819601440715815,1.0203387173324712
273817886,interevent,1585.9870952923918,1619.032845562315,30.837416936900357,4.6138488761801995
273817886,interevent,2310.801965158016,2315.3131740361555,4.511208878139314,0.6749604240590895
273817886,interevent,2315.3131740361555,2317.759050125668,2.4458760895126943,0.36594837596045665
